                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4441,                 1.5665,                 1.2556,                0.57862,                0.38529,                0.37415,                0.12821,                 2.3077,                 1.4337,                 1.2579,              0.0018693,              0.0018693,              0.0018693
                     36,                 2.4024,                 1.5548,                 1.2474,                0.62728,                0.35899,                0.39182,                0.13924,                  2.339,                 1.3408,                 1.2702,              0.0018654,              0.0018654,              0.0018654
                     37,                 2.4008,                 1.5592,                 1.2476,                0.59246,                0.37614,                0.37292,                0.12515,                 2.3058,                 1.4467,                  1.255,              0.0018614,              0.0018614,              0.0018614
                     38,                 2.4296,                  1.554,                 1.2519,                0.58953,                0.38872,                0.39088,                0.13332,                 2.3206,                 1.4103,                 1.2651,              0.0018574,              0.0018574,              0.0018574
                     39,                 2.4135,                 1.5206,                 1.2473,                0.58788,                0.38148,                0.39292,                0.13711,                 2.3226,                 1.4144,                 1.2662,              0.0018535,              0.0018535,              0.0018535
                     40,                 2.3943,                 1.4962,                 1.2491,                0.58332,                0.36014,                0.34039,                0.11486,                 2.3645,                 1.5743,                 1.2856,              0.0018495,              0.0018495,              0.0018495
                     41,                 2.3596,                 1.4843,                 1.2323,                0.61638,                0.36471,                0.36547,                0.12903,                 2.3187,                 1.4628,                 1.2632,              0.0018456,              0.0018456,              0.0018456
                     42,                 2.3618,                 1.4919,                 1.2345,                0.62208,                0.36433,                0.39881,                0.14212,                 2.3219,                 1.3495,                 1.2548,              0.0018416,              0.0018416,              0.0018416
                     43,                 2.3543,                 1.4679,                  1.231,                0.60772,                0.37077,                0.38161,                0.13533,                  2.278,                 1.4218,                  1.251,              0.0018376,              0.0018376,              0.0018376
                     44,                 2.3546,                 1.4536,                  1.237,                0.64701,                0.37232,                0.40519,                0.14242,                 2.3037,                 1.3612,                 1.2564,              0.0018337,              0.0018337,              0.0018337
                     45,                 2.3361,                  1.465,                 1.2267,                0.62523,                0.39367,                0.39701,                0.13979,                 2.3002,                 1.3468,                 1.2475,              0.0018297,              0.0018297,              0.0018297
                     46,                 2.3278,                 1.4579,                 1.2206,                0.63344,                0.36776,                 0.3819,                0.13605,                 2.2968,                 1.3498,                 1.2608,              0.0018258,              0.0018258,              0.0018258
                     47,                 2.3392,                 1.4718,                 1.2196,                0.57494,                 0.3548,                0.35886,                0.12627,                  2.301,                 1.3787,                 1.2647,              0.0018218,              0.0018218,              0.0018218
                     48,                 2.3487,                 1.4757,                 1.2233,                0.61521,                 0.3811,                0.40394,                0.14006,                 2.2998,                 1.3264,                 1.2581,              0.0018178,              0.0018178,              0.0018178
                     49,                 2.3249,                 1.4341,                  1.211,                0.63237,                0.36623,                0.39681,                0.13946,                 2.3139,                 1.3714,                 1.2565,              0.0018139,              0.0018139,              0.0018139
                     50,                 2.2826,                 1.3897,                 1.2136,                0.64681,                0.36166,                0.39106,                0.13893,                 2.3217,                 1.3993,                 1.2707,              0.0018099,              0.0018099,              0.0018099
                     51,                  2.304,                 1.3814,                 1.2113,                0.64552,                0.39291,                0.42003,                0.15029,                  2.304,                 1.2684,                 1.2642,               0.001806,               0.001806,               0.001806
                     52,                 2.3264,                 1.4437,                 1.2175,                0.63544,                0.37691,                0.39952,                0.13633,                 2.3289,                   1.36,                 1.2629,               0.001802,               0.001802,               0.001802
                     53,                 2.2956,                 1.3983,                 1.2235,                0.62848,                0.38529,                0.40356,                0.13591,                 2.3608,                 1.3329,                 1.2655,               0.001798,               0.001798,               0.001798
