                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    142,                 1.8033,                0.96046,                  1.051,                0.69413,                0.43293,                 0.4427,                0.14974,                 2.4004,                  1.127,                 1.3587,              0.0014456,              0.0014456,              0.0014456
                    143,                  1.805,                0.95445,                 1.0412,                0.68278,                0.43407,                0.44443,                0.14973,                 2.3805,                 1.1302,                 1.3743,              0.0014416,              0.0014416,              0.0014416
                    144,                 1.8252,                0.96825,                 1.0506,                0.71558,                0.40846,                0.43249,                0.14918,                 2.3925,                  1.122,                 1.3886,              0.0014377,              0.0014377,              0.0014377
                    145,                 1.7752,                0.93361,                  1.046,                 0.6726,                0.43407,                0.43748,                0.15561,                 2.3607,                 1.1101,                 1.3559,              0.0014337,              0.0014337,              0.0014337
                    146,                 1.8145,                0.96416,                  1.055,                0.69224,                0.43445,                0.44004,                0.15351,                   2.35,                 1.1237,                  1.338,              0.0014298,              0.0014298,              0.0014298
                    147,                 1.8028,                 0.9498,                 1.0486,                0.69086,                0.43436,                0.44688,                0.15555,                   2.39,                 1.1275,                 1.3721,              0.0014258,              0.0014258,              0.0014258
                    148,                  1.885,                0.99543,                 1.0683,                0.68031,                0.42901,                0.43894,                 0.1546,                 2.3531,                 1.1081,                 1.3513,              0.0014218,              0.0014218,              0.0014218
                    149,                 1.7965,                0.93169,                  1.046,                0.69296,                0.43826,                0.44988,                0.15562,                 2.3804,                 1.1126,                 1.3642,              0.0014179,              0.0014179,              0.0014179
                    150,                 1.8116,                0.95242,                 1.0556,                0.65597,                0.43178,                0.43585,                0.15241,                 2.3874,                 1.1315,                 1.3526,              0.0014139,              0.0014139,              0.0014139
                    151,                 1.7784,                0.93548,                 1.0504,                0.67933,                0.43902,                0.44357,                0.15721,                  2.356,                 1.1017,                  1.354,                0.00141,                0.00141,                0.00141
                    152,                 1.7836,                0.93854,                 1.0407,                0.69204,                0.42873,                0.44047,                 0.1549,                 2.3597,                 1.1033,                  1.361,               0.001406,               0.001406,               0.001406
                    153,                 1.7928,                0.94188,                 1.0414,                0.70028,                0.41938,                0.43325,                0.14987,                  2.387,                 1.1145,                 1.3637,               0.001402,               0.001402,               0.001402
                    154,                  1.785,                0.94032,                 1.0347,                0.70544,                0.43178,                0.44295,                0.15532,                 2.3668,                 1.1031,                 1.3647,              0.0013981,              0.0013981,              0.0013981
                    155,                 1.7587,                0.92192,                 1.0325,                0.71006,                0.43369,                0.44608,                0.15686,                 2.3793,                 1.0943,                 1.3736,              0.0013941,              0.0013941,              0.0013941
                    156,                 1.7455,                0.91332,                 1.0296,                0.69098,                0.44055,                0.45495,                0.15793,                 2.3712,                 1.0998,                 1.3628,              0.0013902,              0.0013902,              0.0013902
                    157,                 1.7583,                0.91141,                 1.0285,                0.68774,                0.43293,                0.44858,                0.15256,                 2.3925,                    1.1,                 1.3678,              0.0013862,              0.0013862,              0.0013862
                    158,                 1.7666,                0.92287,                 1.0397,                0.67424,                0.43407,                0.43108,                 0.1497,                 2.3832,                 1.1126,                 1.3748,              0.0013822,              0.0013822,              0.0013822
                    159,                 1.8012,                0.96247,                 1.0401,                0.67222,                0.43369,                0.42717,                 0.1477,                 2.3871,                 1.1263,                 1.3798,              0.0013783,              0.0013783,              0.0013783
                    160,                 1.7436,                0.91502,                 1.0249,                0.67856,                0.43559,                0.44389,                0.15363,                 2.3763,                 1.0977,                 1.3554,              0.0013743,              0.0013743,              0.0013743
                    161,                 1.7503,                0.90787,                 1.0279,                0.69654,                0.42862,                 0.4304,                0.15048,                 2.3879,                 1.1113,                 1.3793,              0.0013704,              0.0013704,              0.0013704
                    162,                 1.7488,                0.91064,                 1.0191,                0.68396,                0.43331,                 0.4411,                0.15023,                  2.391,                 1.1063,                 1.3828,              0.0013664,              0.0013664,              0.0013664
                    163,                 1.7324,                0.90262,                 1.0275,                0.69524,                0.42683,                0.44361,                0.15066,                 2.4057,                 1.1132,                 1.3733,              0.0013624,              0.0013624,              0.0013624
                    164,                 1.7507,                0.91295,                 1.0272,                 0.7127,                0.43102,                   0.45,                0.15428,                 2.3834,                 1.1052,                 1.3691,              0.0013585,              0.0013585,              0.0013585
                    165,                 1.7472,                0.90958,                 1.0225,                0.70894,                0.42645,                0.43368,                0.14953,                 2.3886,                 1.1164,                 1.3698,              0.0013545,              0.0013545,              0.0013545
                    166,                 1.7215,                0.89294,                 1.0245,                0.70473,                0.42226,                0.44347,                0.15133,                 2.3995,                 1.1091,                 1.3681,              0.0013506,              0.0013506,              0.0013506
                    167,                 1.7372,                0.90584,                 1.0204,                0.68862,                0.43572,                0.43788,                0.14891,                  2.406,                 1.1088,                 1.3833,              0.0013466,              0.0013466,              0.0013466
                    168,                 1.7468,                0.91076,                 1.0451,                0.68494,                0.43331,                0.44071,                0.15212,                 2.3994,                 1.1212,                 1.3826,              0.0013426,              0.0013426,              0.0013426
                    169,                 1.6837,                0.87744,                 1.0172,                0.71509,                0.43788,                0.45008,                0.15823,                 2.3848,                 1.0953,                 1.3817,              0.0013387,              0.0013387,              0.0013387
                    170,                 1.7383,                0.90692,                 1.0306,                0.70302,                0.42378,                0.43519,                0.15034,                 2.3837,                  1.107,                 1.3723,              0.0013347,              0.0013347,              0.0013347
